Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
ANZ Banking Group,4.1,Melbourne,Data Engineer - ANZ Plus,"Req ID: 30433
Department: THQ - ANZx ABT Program AU (30110519)
Division: Group Technology (T77000)
About the role
Help shape the future as we leverage data to flip traditional banking on its head
Use Google’s cloud services to deliver real-time insights about customer behaviour
Be part of something different - working in an agile way to innovate and deliver quality outcomes at pace

At ANZ our purpose is to shape a world where people and communities thrive. We’re making this happen by improving the financial wellbeing and sustainability of our customers so they can achieve incredible things– whether they’re buying a home, building a business or saving for things big or small. Join us as we reimagine our customer propositions and services using the latest platforms and technology, to better support our customers’ financial wellbeing

The Data Engineering position is critical to making this happen and your key accountabilities will include:

Building real-time analytical capability to power
Experiences within the mobile app
Informing marketing and servicing messaging
Enriching our data lake
Build data quality automated frameworks across a multi-cloud data and on premises environments
Building highly optimised data models with multiple interface types for data consumers
What will your day look like
Working in an agile framework with a team of Data Engineers to deliver data solutions for our transformation including:
Building optimized data solutions and ingestion patterns with considerations for security and data governance
Building data pipelines and a real-time data eco-system to provide interactive customer experiences that will feed data into other systems via multiple interface types.
Define and publish the data architecture standards for all applications and infrastructure across the portfolio
Foster collaboration across teams, functions, regions and divisions using a range of influencing and negotiation strategies to establish mutually beneficial partnerships with key stakeholders
What will you bring?

To grow and be successful in this role, you will ideally bring the following:

Cloud based data engineering experience
Proven successful building large data solutions
Ability to work collaboratively with technical and business teams
Ability to multi-task, highly adaptable to change and ambiguity
Proactive, shows initiative and keen to try new things i.e. new technologies

You’re not expected to have 100% of these skills. At ANZ a growth mindset is at the heart of our culture, so if you have most of these things in your toolbox, we’d love to hear from you.

So, why join us?

There’s something special about being part of ANZ. From the moment you join us, you’re part of a team working towards a common goal: improving the financial wellbeing and sustainability of our millions of customers.

But it’s not just our customers who’ll feel your impact. You’ll feel it too. Because at ANZ, you’ll have the resources and community you need to take the next big step in your career, towards even bigger things in the future.

We offer a range of benefits tailored to the countries in which we operate including Health and Wellbeing programs and flexible working arrangements.

You’ll also enjoy working in a diverse and inclusive workplace where the different backgrounds, perspectives and life experiences of our people are celebrated. We encourage you to talk to us about any adjustments you may require to our recruitment process or the role itself. If you are a candidate with a disability, let us know how we can provide you with additional support.

To find out more about working at ANZ or to view other opportunities visit www.careers.anz.com. You may apply for this role by visiting ANZ Careers and searching for reference number 30433

Job Posting End Date

18 April, 11.59pm, (Melbourne Australia)",30d+,False,A$120K - A$150K (Glassdoor est.),10000+,Company - Public,Financial Services,1835,Banking & Lending,,0.82,0.89,3.9,3.7,4.2,3.6,4.1,"['""Work life balance is good"" (in 100 reviews)', '""People here are great and typically amongst the best."" (in 48 reviews)', '""Good culture"" (in 66 reviews)', '""Good salary and extra rewards in terms of performance"" (in 53 reviews)', '""Good pakage and good management"" (in 41 reviews)']","['""nothing, good people, helpful manager, ideation"" (in 48 reviews)', '""Boss culture"" (in 66 reviews)', '""salary is avag, pomotion is not too much"" (in 53 reviews)', '""Poor Management Decision"" (in 41 reviews)']",3.8,
Morpheus Data,3.9,Remote,Field Engineer - APAC,"Field Engineer – APAC
Morpheus Data is a fast-growing but established start-up focused on the unified management of hybrid clouds, containers, and infrastructure automation. Our enterprise and MSP customers can quickly enable on-premises private clouds, centralize public cloud access, and orchestrate change with cost analytics, governance policy, and automation. Out of the box, we integrate with dozens of technologies including VMware, Nutanix, AWS, Azure, GCP, Terraform, Ansible, Kubernetes, ServiceNow, and more plus co-sell and market with some of the largest OEMs and GSIs in the world including HPE, Dell, and Lenovo which gives us lots of vines to grab for digital marketing.
About The Role
Possess a practical understanding of cloud computing architecture and DevOps processes with experience deploying, self-service provisioning and automation solutions. Detail oriented and follow in depth technical documentation to properly install software and integrate solutions as various customer use cases require. We are looking for field engineer with the runway to support partners and help when POCs go a little too deep for a typical sales engineer to handle.",2d,True,A$180K - A$225K (Employer est.),1 to 50,,,,,,0.84,,4.0,4.0,3.8,3.5,4.2,"['""Time and ability to specialize in multiple technologies"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],5.0,
Ausgrid,3.5,Australia,Engineer,"Date: 13-Apr-2023
Location: AU
Join us on our journey to a net zero future!
Permanent Full-time Role | $119,535 - $128,753 Base Salary + 15% Super + Fortnightly RDO
Be an integral part of a leading business within an evolving industry!

Imagine a world where possibilities are widespread. Ausgrid is the forefront of the transitioned future. We are the leader in connecting communities easily to their energy supply choices, while striving for net zero. Are you ready to play your part in an evolving industry?",24h,False,A$120K - A$129K (Employer est.),1001 to 5000,Government,"Energy, Mining & Utilities",1904,Energy & Utilities,$1 to $5 billion,0.63,0.6,3.6,4.2,3.1,2.9,3.8,"['""pay was good but just ok now"" (in 3 reviews)', '""Great lower manager"" (in 1 reviews)']","['""Back stabbing colleagues"" (in 1 reviews)', '""Long hours and lack of management support things have changed"" (in 1 reviews)']",,
NAB - National Australia Bank,3.9,Australia,NAB Technology Internship Program July 2023,"NAB Technology Internship Program July 2023
Job no: 787195
Business unit: Technology and Enterprise Operations
Work type: Fixed term Full time, Fixed term Part time
Reports to: Bettina Guilfoyle
Be part of the NAB journey and join one of Australia’s largest Technology Internship Programs!
Intern at Australia’s largest business bank
Full time paid employment for 12 months",24d,False,,10000+,Company - Public,Financial Services,,Banking & Lending,$10+ billion,0.78,0.87,3.8,3.5,3.8,3.4,3.8,"['""Good Work life balance for women"" (in 30 reviews)', '""Good team and growth and culture"" (in 30 reviews)', '""Really good pay compared to other banks"" (in 21 reviews)', '""Good training"" (in 41 reviews)', '""Good people to work with"" (in 23 reviews)']","['""work life balance not so good"" (in 30 reviews)', '""Not much career progression or a vibrant culture"" (in 30 reviews)', '""Draining work with average pay."" (in 21 reviews)', '""Poor training"" (in 41 reviews)']",4.3,
Actian Corporation,4.0,Remote,Junior Support Engineer – Remote Australia,"Our Vision is to be the Most Trusted, Flexible and Easy to Use Hybrid Cloud Data Platform. Actian is transforming industries by empowering companies to accelerate application modernization and simplify the Cloud journey. Our customers use the Actian Data Platform to unify their siloed data, explore and securely exchange data to run a variety of analytic workloads that provide real time business insights at a fraction of the cost. We have 24 of the Fortune 100 companies using Actian technology in some of the most mission critical applications that impact your daily life.

At Actian we believe data should be used as a competitive advantage. Through the deployment of remarkable data technology, underpinned by a relentless and trusted service commitment, we help business critical systems transact and integrate at their very best. The company is headquartered in Silicon Valley and has offices worldwide.
We are looking for an Actian Avalanche Junior Support Engineer – Remote Australia to provide prompt, courteous and in-depth service and support to our Avalanche customers and partners. We are looking for you to provide top-of-the-line customer service by demonstrating a high level of service aptitude, product knowledge and customer responsiveness. You will thrive in an environment that expects you to take initiative and find solutions.",30d+,True,,201 to 500,Company - Private,Information Technology,2005,Computer Hardware Development,$100 to $500 million,0.81,0.88,3.9,3.7,3.9,3.8,4.2,"['""Great people to work with."" (in 11 reviews)', '""Very immersive internship program that allows you to explore the field and work on valuable projects."" (in 2 reviews)', '""very good salary"" (in 4 reviews)', '""The company culture is positive and encouraging."" (in 4 reviews)']","['""Salary needs to be as per market"" (in 4 reviews)', '""Sr Executives disconnected from reality below."" (in 6 reviews)']",3.6,"['Health Insurance (3 comments)\n""Flexible choice of plans with a reasonable employee contribution along with FSA and HSA options""', '401K Plan (3 comments)\n""Includes a full-featured 401k plan""']"
Hudson Australia,3.9,Melbourne,Data Engineer,"We have an exciting opportunity for a Data Engineer to work with State Government Department. Data Engineer is involved in data preparation. They develop, construct, test & maintain complete data architecture.
A Data Engineer is a professional responsible for designing, building, and maintaining the infrastructure required to support data collection, storage, processing, and analysis. Their main focus is on the efficient and reliable management of large volumes of data.
The Data Engineer will work in the
Dealing with a legacy system
Gaps in historical data structures
Constructing data architecture aligned to solution architecture",7d,False,A$126K - A$174K (Glassdoor est.),501 to 1000,Company - Private,Human Resources & Staffing,1985,HR Consulting,,0.8,0.79,3.9,3.7,3.8,3.6,3.8,"['""Great culture for those employed there"" (in 26 reviews)', '""Good team and people there."" (in 28 reviews)', '""You get a monthly salary"" (in 18 reviews)', '""Good leadership, very people oriented, not a one size fits all type of organisation."" (in 10 reviews)', '""Having a good manager is really important, and i am lucky to have that in Hudson"" (in 8 reviews)']","['""based and email central culture with little opportunity to innovate better solutions or even get your job done."" (in 26 reviews)', '""All is good, people are real nice here"" (in 28 reviews)', '""repetitive paper work low salary"" (in 18 reviews)', '""Poor leadership"" (in 10 reviews)', '""The team culture really depends on the leadership of different managers."" (in 8 reviews)']",,
Fencing Installers Australia,4.2,Coffs Harbour,Mechanical Engineer,"FIA Commercial Fencing Pty Ltd is recruiting a Mechanical Engineer with the desire to learn and grow to be a part of a diversely sensational team.
ABOUT US
We are one of the leading fencing contractors in Australia, focusing on but not limited to government, school and railway fencing projects. We set a solid foundation of work quality assurance and strong work ethics suitable for propitious development and favourable benefits to all stakeholders. Not only that, but we also maintain and provide our valued staff with a team environment that allows them to grow and excel.
JOB DESCRIPTION
Studying functional statements, organisational charts and project information to determine functions and responsibilities of workers and work units and to identify areas of duplication",15d,True,A$80K - A$120K (Employer est.),,Company - Public,,,,,0.79,,4.2,4.2,4.2,4.2,4.2,"['""The Boss is very hands on with his employees and I enjoyed the salary benefits given to me."" (in 1 reviews)', '""Very good treatment of staff"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Ippon Technologies,4.6,Melbourne,Data Engineer,"Ippon Australia is a team of true technologists who leverage contemporary thinking and tools to enhance the way our clients drive value. Whether it’s a bespoke platform to improve employee engagement within a national retail chain, or developing an app that provides next level direct customer interaction; value is delivered to our clients when we begin by understanding the business outcomes they desire and then apply our technical expertise to make these a reality.
We are expanding our market offering through the development of a Data Driven Architecture practice and are searching for passionate Data Engineers to join us. The Data practice complements our capabilities in Experience Design and Delivery, as well as Software Engineering and Cloud, further enhancing our ability to deliver comprehensive business outcomes to our clients.

As a Data Engineer, you will be working along side of our clients and be involved in supporting and/or driving the design, build, testing and implantation of data transformation of data pipelines using various tools and technologies. Gathering business requirements by engaging in data sourcing, data gathering and integration processes, as well as developing data pipelines using Big Data technologies.",30d+,True,A$112K - A$144K (Glassdoor est.),501 to 1000,Company - Private,Information Technology,2002,Information Technology Support Services,$25 to $100 million,0.96,0.92,4.5,3.9,4.7,4.3,4.7,"['""Great people"" (in 3 reviews)', '""Company culture, great environment for learning new skills and technologies!"" (in 3 reviews)', '""Flexible working time, good environment"" (in 3 reviews)']","['""Bad head management, I got retired because I relocated to another country."" (in 2 reviews)', '""No additional benefits (gym membership/company discounts etc.)"" (in 1 reviews)']",4.3,
Gilmour Space Technologies Pty Ltd,3.2,Helensvale,Data & Control Systems Engineer,"All Orbits, All Planets - Join us on our journey
Gilmour Space is the leading Australian rocket company, pioneering next-generation hybrid propulsion technologies for small satellite launch vehicles.
The Data & Control Systems Engineer will work with the launch operations teams to develop safe and user-friendly control systems in support of R&D and production testing. This includes designing and maintaining data and control systems consisting of various data acquisition and control hardware, wiring and interface harnesses, and other required instrumentation. To document and communicate across teams to ensure duties are performed in an efficient and timely manner whilst adhering to Gilmour Space policies and procedures.
Duties and Responsibilities:",15d,True,A$75K - A$122K (Glassdoor est.),1 to 50,Company - Private,,,,,0.66,,3.6,2.7,3.2,2.8,3.2,"['""Awesome culture"" (in 3 reviews)', '""Love the work, great atmosphere, amazing people to bounce ideas off and mostly supportive upper management."" (in 1 reviews)']","['""Can not buy tools, materials, H&amp;S equipment, etc, as they have no money."" (in 1 reviews)']",,
Talent Street,5.0,Australia,Data Engineer,"IMMEDIATE – Data Engineer – AUD 1100 per day + Super – 6 Months (Extensions) – NSW Government Project

Role Title: Data Engineer
Contract: 6 months (Extensions)
Rate: $1100 per day + super
Hours: 40 hours / week
Location: Parramatta, NSW (Hybrid, WFH Options)

Role Description:
The Data Engineer is a critical technical role in building the foundation of a robust Database / Datawarehouse in a best practice manner. The Engineer will be responsible for building the application that supports the collection, processing, storage, and analysis of data.",24h,True,A$137.50 Per Hour(Employer est.),1 to 50,Company - Private,Human Resources & Staffing,2013,Staffing & Subcontracting,,1.0,,5.0,5.0,5.0,5.0,5.0,"['""Love working with such a great, supportive team"" (in 2 reviews)', '""Flexible working."" (in 1 reviews)', '""Great office space."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
